series_name,series_slug_tr,series_slug_en,series_number,product_code,category_main,category_sub,release_date,release_year,release_month_tr,figure_count,manual_rarity,computed_rarity,final_rarity,is_limited_production,is_special_production,summary_tr,summary_en,collector_comment_tr,collector_comment_en,hero_image_url,cover_image_url,is_active,is_published
LEGO® Minifigürler Serisi The Muppets,lego-minifigurler-serisi-the-muppets,lego-minifigures-series-the-muppets,71033,71033,Lisanslı Seriler,Animasyon / Kukla Tiyatrosu / Nostaljik TV Klasikleri,2022-05-01,2022,Mayıs,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Super Mario Character Packs 5,lego-minifigurler-serisi-super-mario-character-packs-5,lego-minifigures-series-super-mario-character-packs-5,71410,71410,Özel Seriler,Oyun Dünyası / Nintendo Temalı / Super Mario Evreni,2022-08-01,2022,Ağustos,8,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 23,lego-minifigurler-serisi-23,lego-minifigures-series-23,71034,71034,Koleksiyon Serileri,Kutlama / Kostüm Ağırlıklı,2022-09-01,2022,Eylül,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 24,lego-minifigurler-serisi-24,lego-minifigures-series-24,71037,71037,Koleksiyon Serileri,Tematik / Klasik Harman,2023-01-01,2023,Ocak,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Super Mario Character Packs 6,lego-minifigurler-serisi-super-mario-character-packs-6,lego-minifigures-series-super-mario-character-packs-6,71413,71413,Özel Seriler,Oyun Dünyası / Nintendo Temalı / Super Mario Evreni,2023-01-01,2023,Ocak,8,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Disney 100,lego-minifigurler-serisi-disney-100,lego-minifigures-series-disney-100,71038,71038,Lisanslı Seriler,Disney 100. Yıl / Klasikler / Efsaneler Buluşması,2023-05-01,2023,Mayıs,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Marvel Studios 2,lego-minifigurler-serisi-marvel-studios-2,lego-minifigures-series-marvel-studios-2,71039,71039,Lisanslı Seriler,Süper Kahraman / Film Uyarlaması / Marvel Studios 2. Seri,2023-09-01,2023,Eylül,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 25,lego-minifigurler-serisi-25,lego-minifigures-series-25,71045,71045,Koleksiyon Serileri,Özel / Kutlama Serisi,2024-01-01,2024,Ocak,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 26,lego-minifigurler-serisi-26,lego-minifigures-series-26,71046,71046,Koleksiyon Serileri,Uzay Serisi / Bilimkurgu,2024-05-01,2024,Mayıs,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Dungeons and Dragons,lego-minifigurler-serisi-dungeons-and-dragons,lego-minifigures-series-dungeons-and-dragons,71047,71047,Lisanslı Seriler,Fantastik / Rol Yapma Oyunu / Kahramanlık Efsaneleri,2024-09-01,2024,Eylül,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 27,lego-minifigurler-serisi-27,lego-minifigures-series-27,71048,71048,Koleksiyon Serileri,Fantastik / Rol Yapma Serisi,2025-01-01,2025,Ocak,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi F1 Race Cars,lego-minifigurler-serisi-f1-race-cars,lego-minifigures-series-f1-race-cars,71049,71049,Lisanslı Seriler,Spor / Yarış / Formula 1 Temalı Seri,2025-05-01,2025,Mayıs,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Spider Man Across the Spider Verse,lego-minifigurler-serisi-spider-man-across-the-spider-verse,lego-minifigures-series-spider-man-across-the-spider-verse,71050,71050,Lisanslı Seriler,Süper Kahraman / Film Uyarlaması / Spider-Verse Temalı Seri,2025-09-01,2025,Eylül,12,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 28,lego-minifigurler-serisi-28,lego-minifigures-series-28,71051,71051,Koleksiyon Serileri,,2026-01-01,2026,Ocak,12,,,,,,,,,,,,TRUE,TRUE
